"pui","Problem","Abstract","ApiAbstract"
"2000781","false","Nonprescription ibuprofen is useful for managing minor aches and pains, reducing fever, and relieving symptoms of dysmenorrhea. For these indications, ibuprofen's effectiveness has been judged to be equal or superior to other available nonprescription analgesics. Ibuprofen is not recommended for self-treatment in children less than 12 years old.",
"18335846","false","Ibuprofen was the first non-aspirin non-steroidal antiinflammatory drug (NSAID) to be approved for over-the-counter (OTC) use and is widely considered to be the best tolerated drug of its class. Low-dose, OTC ibuprofen has been used for pain relief for over 30 years without any obvious major health issues. However, there is no clear differentiation between the OTC and prescription doses of ibuprofen, and their respective effects. Adverse reactions to ibuprofen appear to be dose and duration dependent, and this may be the reason for the observed tolerability of the drug at OTC doses. OTC ibuprofen is at least as effective as aspirin and more effective than paracetamol. The tolerability concerns associated with higher dose NSAIDs currently do not apply to low-dose, short-term use of ibuprofen for common pain. Ibuprofen is associated with the least risk of GI complications compared with other NSAIDs and is considered relatively benign in overdose. This review will aim to distinguish the safety of OTC or non-prescription use of ibuprofen from its prescription use.",
"36008521","false","OBJECTIVE:To examine the efficacy of dual medication therapy (intervention) (DMT: acetaminophen and ibuprofen) vs. single medication therapy (control) (SMT: ibuprofen) for medical management of PDA (outcomes) in preterm infants (population).STUDY DESIGN:We systematically searched multiple sources to identify randomized controlled trials (RCT) and non-randomized studies (NRS) that compared DMT to SMT for management of hemodynamically significant PDA.RESULTS:We identified two RCTs and four NRS. There were no differences in the rates of successful PDA closure following the first treatment course between DMT and SMT (RR = 1.23 [95% CI 0.89-1.70] for NRS and RR = 1.18 [95% CI 0.66-2.10] for RCTs), nor were there significant differences in secondary outcomes and adverse events including PDA ligation, bronchopulmonary dysplasia, and necrotizing enterocolitis etc. Markers of hepatic/renal function did not change significantly during treatment.CONCLUSION:We found no evidence for superiority of DMT over SMT in PDA management.",
"34196258","true",": The studies that have been performed so far demonstrate no association between ibuprofen use and increased mortality rates or an increased risk for respiratory support. Accordingly, we recommend ibuprofen to be used for managing COVID-19 symptoms.","<b>Introduction</b>: The Coronavirus disease 2019 (COVID-19) poses novel challenges in the healthcare systems around the world. Concern about the role of Non-Steroidal Anti-Inflammatory Drugs (NSAIDs) and, in particular, ibuprofen has led to significant speculation.<b>Areas covered</b>: A literature search was conducted to evaluate ibuprofen's potential benefits and harms in the COVID-19 disease. Angiotensin-Converting Enzyme 2 (ACE-2) is crucial entry receptor for Severe Acute Respiratory Syndrome coronavirus-2 (SARS-CoV-2) in host cells. We found no scientific evidence linking ibuprofen use and an ACE-2 overexpression. Ibuprofen suppresses the production of various pro-inflammatory cytokines that are implicated in the 'cytokine storm' and subsequent ARDS in COVID-19 disease. Nevertheless, the exact role of ibuprofen in the immune response in COVID-19 disease is still unknown. There are no double-blind, placebo-controlled studies assessing the effect of ibuprofen on COVID-19 disease progression.<b>Expert opinion</b>: The studies that have been performed so far demonstrate no association between ibuprofen use and increased mortality rates or an increased risk for respiratory support. Accordingly, we recommend ibuprofen to be used for managing COVID-19 symptoms."
"3969852","false","",
"34443379","false","Herein, we review the recent progress in the synthesis of representative nonsteroidal anti-inflammatory drugs (NSAIDs), ibuprofen and naproxen. Although these drugs were discovered over 50 years ago, novel practical and asymmetric approaches are still being developed for their synthesis. In addition, this endeavor has enabled access to more potent and selective derivatives from the key frameworks of ibuprofen and naproxen. The development of a synthetic route to ibuprofen and naproxen over the last 10 years is summarized, including developing methodologies, finding novel synthetic routes, and applying continuous-flow chemistry.",
"29311081","true"," and may provide a convenient dosing method. These results provide an additional explanation for the previously observed therapeutic effects of ibuprofen in CF patients and further strengthen the argument for its use by these patients.","Clinical trials have demonstrated the benefits of ibuprofen therapy in cystic fibrosis (CF) patients, an effect that is currently attributed to ibuprofen's anti-inflammatory properties. Yet, a few previous reports demonstrated an antimicrobial activity of ibuprofen as well, although none investigated its direct effects on the pathogens found in the CF lung, which is the focus of this work. Determination of ibuprofen's <i>in vitro</i> antimicrobial activity against <i>Pseudomonas aeruginosa</i> and <i>Burkholderia</i> species strains through measurements of the endpoint number of CFU and growth kinetics showed that ibuprofen reduced the growth rate and bacterial burden of the tested strains in a dose-dependent fashion. In an <i>in vitro</i><i>Pseudomonas</i> biofilm model, a reduction in the rate of biomass accumulation over 8 h of growth with ibuprofen treatment was observed. Next, an acute <i>Pseudomonas</i> pneumonia model was used to test this antimicrobial activity after the oral delivery of ibuprofen. Following intranasal inoculation, ibuprofen-treated mice exhibited lower CFU counts and improved survival compared with the control animals. Preliminary biodistribution studies performed after the delivery of ibuprofen to mice by aerosol demonstrated a rapid accumulation of ibuprofen in serum and minimum retention in lung tissue and bronchoalveolar lavage fluid. Therefore, ibuprofen-encapsulated polymeric nanoparticles (Ibu-NPs) were formulated to improve the pharmacokinetic profile. Ibu-NPs formulated for aerosol delivery inhibited the growth of <i>P. aeruginosa in vitro</i> and may provide a convenient dosing method. These results provide an additional explanation for the previously observed therapeutic effects of ibuprofen in CF patients and further strengthen the argument for its use by these patients."
"36903343","false","The anti-inflammatory drug ibuprofen is considered to be an emerging contaminant because of its presence in different environments (from water bodies to soils) at concentrations with adverse effects on aquatic organisms due to cytotoxic and genotoxic damage, high oxidative cell stress, and detrimental effects on growth, reproduction, and behavior. Because of its high human consumption rate and low environmental degradation rate, ibuprofen represents an emerging environmental problem. Ibuprofen enters the environment from different sources and accumulates in natural environmental matrices. The problem of drugs, particularly ibuprofen, as contaminants is complicated because few strategies consider them or apply successful technologies to remove them in a controlled and efficient manner. In several countries, ibuprofen's entry into the environment is an unattended contamination problem. It is a concern for our environmental health system that requires more attention. Due to its physicochemical characteristics, ibuprofen degradation is difficult in the environment or by microorganisms. There are experimental studies that are currently focused on the problem of drugs as potential environmental contaminants. However, these studies are insufficient to address this ecological issue worldwide. This review focuses on deepening and updating the information concerning ibuprofen as a potential emerging environmental contaminant and the potential for using bacteria for its biodegradation as an alternative technology.",
"23163543","false","The discovery of ibuprofen's anti-inflammatory activity by Dr (now Professor) Stewart Adams and colleagues (Boots Pure Chemical Company Ltd, Nottingham, UK) 50 years ago represented a milestone in the development of anti-inflammatory analgesics. Subsequent clinical studies were the basis for ibuprofen being widely accepted for treating painful conditions at high anti-rheumatic doses (≤ 2400 mg/d), with lower doses (≤ 1200 mg/d for ≤ 10 days) for mild-moderate acute pain (e.g. dental pain, headache, dysmenorrhoea, respiratory symptoms and acute injury). The early observations have since been verified in studies comparing ibuprofen with newer cyclo-oxygenase-2 selective inhibitors ('coxibs'), paracetamol and other non-steroidal anti-inflammatory drugs (NSAIDs). The use of the low-dose, non-prescription, over-the-counter (OTC) drug was based on marketing approval in 1983 (UK) and 1984 (USA); and it is now available in over 80 countries. The relative safety of OTC ibuprofen has been supported by large-scale controlled studies. It has the same low gastro-intestinal (GI) effects as paracetamol (acetaminophen) and fewer GI effects than aspirin. Ibuprofen is a racemate. Its physicochemical properties and the short plasma-elimination half-life of the R(-) isomer, together with its limited ability to inhibit cyclo-oxygenase-1 (COX-1) and thus prostaglandin (PG) synthesis, compared with that of S(+)-ibuprofen, are responsible for the relatively low GI toxicity. The R(-) isomer is then converted in the body to the S(+) isomer after absorption in the GI tract. Ex vivo inhibition of COX-1 (thromboxane A(2)) and COX-2 (PGE(2)) at the plasma concentrations of S(+)-ibuprofen corresponding to those found in the plasma following ingestion of 400 mg ibuprofen in dental and other inflammatory pain models provides evidence of the anti-inflammatory mechanism at OTC dosages. R(-)-ibuprofen has effects on leucocytes, suggesting that ibuprofen has anti-leucocyte effects, which underlie its anti-inflammatory actions. Future developments include novel gastro-tolerant forms for 'at risk' patients, and uses in the prevention of neuro-inflammatory states and cancers.",
"391117","false","Ibuprofen was introduced in England in 1967 and in the United States in 1974 as an anti-inflammatory drug in humans. It has weak but definite anti-inflammatory properties similar to those of aspirin, milligram for milligram, but with considerably less adverse effect on the stomach. Ibuprofen is chemically related to fenoprofen and naproxen, but lack of effect for any one in this chemical class of propionic-acid derivatives does not necessarily mean lack of effect for any other in an individual patient. The drug has analgesic properties, probably related to its anti-inflammatory effect. It inhibits prostaglandin synthesis and has no effect on the adrenopituitary axis, making it a nonsteroidal agent. Ibuprofen has been shown to be effective in rheumatoid arthritis and osteoarthritis and is probably effective in ankylosing spondylitis, gout, and Bartter's syndrome.",
"12517240","false","Paracetamol (acetaminophen) is one of the over-the-counter analgesics that is used frequently for the self-management of some of the common disorders. There seems to be two types of relations between paracetamol and asthma - paracetamol intolerance leading to bronchospasm in analgesic-induced asthmatics; and the relation between asthma and the amount and frequency of consumption of paracetamol. Paracetamol is generally recommended as one of the safer analgesics in both analgesic tolerant and intolerant asthmatics, without the fear of severe bronchospasm that aspirin and other non-steroidal anti-inflammatory drugs can induce in these patients. However, Paracetamol is reported to cross-react with aspirin at a rate of approximately 20-30% in a dose-dependent way. Therefore, it should not be recommended to analgesic intolerant asthmatics, without performing oral provocation tests to prove its safety. The possible association between the amount and frequency of paracetamol consumption and the prevalence and degree of asthma as suggested by some of the recent surveys, needs to be investigated further.",
"7003571","false","Paracetamol is an analgesic and antipyretic agent which was first marketed for use as a drug in the U.K. in 1956. It has since become popular with the medical profession and the general public as an alternative to aspirin.",
"2152767","false","",
"3552585","false","Since their synthesis in the late 1800s paracetamol (acetaminophen) and phenacetin have followed divergent pathways with regard to their popularity as mild analgesic/antipyretic drugs. Initially, paracetamol was discarded in favour of phenacetin because the latter drug was supposedly less toxic. Today the opposite is true, and paracetamol, along with aspirin, has become one of the two most popular 'over-the-counter' non-narcotic analgesic agents. This marked increase in the wide approval attained by paracetamol has been accompanied by the virtual commercial demise of phenacetin because of its role, albeit somewhat circumstantial, in causing analgesic nephropathy. Both paracetamol and phenacetin are effective mild analgesics, suitable for treating mild to moderate pain, and their actions are broadly comparable with those of aspirin and related salicylates, although they do not appear to possess significant anti-inflammatory activity. Since a major portion of a dose of phenacetin is rapidly metabolised to paracetamol, it seems possible that phenacetin owes some of its therapeutic activity to its main metabolite, paracetamol, whereas its most troublesome side effect (methaemoglobinaemia) is due to another metabolite, p-phenetidine. The mechanism of action of paracetamol is poorly defined, although it has been speculated that it may selectively inhibit prostaglandin production in the central nervous system, which would account for its analgesic/antipyretic properties. The lack of any significant influence on peripheral cyclooxygenase would explain the absence of anti-inflammatory activity. At therapeutic doses paracetamol is well tolerated and produces fewer side effects than aspirin. The most frequently reported adverse effect associated with paracetamol is hepatotoxicity, which occurs after acute overdosage (usually doses greater than 10 to 15g are needed) and, very rarely, during long term treatment with doses at the higher levels of the therapeutic range. Paracetamol damages the liver through the formation of a highly reactive metabolite which is normally inactivated by conjugation with glutathione. Overdoses of paracetamol exhaust glutathione stores, thus allowing the accumulation of this toxic metabolite which covalently binds with vital cell elements and can result in liver necrosis. Glutathione precursors (notably intravenous N-acetylcysteine) have proved remarkably successful in treating paracetamol overdose, as long as treatment is initiated within 10 hours.(ABSTRACT TRUNCATED AT 400 WORDS)",
"17227290","false","Paracetamol (acetaminophen) is one of the most popular and widely used drugs for the treatment of pain and fever. It occupies a unique position among analgesic drugs. Unlike NSAIDs it is almost unanimously considered to have no antiinflammatory activity and does not produce gastrointestinal damage or untoward cardiorenal effects. Unlike opiates it is almost ineffective in intense pain and has no depressant effect on respiration. Although paracetamol has been used clinically for more than a century, its mode of action has been a mystery until about one year ago, when two independent groups (Zygmunt and colleagues and Bertolini and colleagues) produced experimental data unequivocally demonstrating that the analgesic effect of paracetamol is due to the indirect activation of cannabinoid CB(1) receptors. In brain and spinal cord, paracetamol, following deacetylation to its primary amine (p-aminophenol), is conjugated with arachidonic acid to form N-arachidonoylphenolamine, a compound already known (AM404) as an endogenous cannabinoid. The involved enzyme is fatty acid amide hydrolase. N-arachidonoylphenolamine is an agonist at TRPV1 receptors and an inhibitor of cellular anandamide uptake, which leads to increased levels of endogenous cannabinoids; moreover, it inhibits cyclooxygenases in the brain, albeit at concentrations that are probably not attainable with analgesic doses of paracetamol. CB(1) receptor antagonist, at a dose level that completely prevents the analgesic activity of a selective CB(1) receptor agonist, completely prevents the analgesic activity of paracetamol. Thus, paracetamol acts as a pro-drug, the active one being a cannabinoid. These findings finally explain the mechanism of action of paracetamol and the peculiarity of its effects, including the behavioral ones. Curiously, just when the first CB(1) agonists are being introduced for pain treatment, it comes out that an indirect cannabino-mimetic had been extensively used (and sometimes overused) for more than a century.",
"26460177","false","Although 60 years have passed since it became widely available on the therapeutic market, paracetamol dosage in patients with liver disease remains a controversial subject. Fulminant hepatic failure has been a well documented consequence of paracetamol overdose since its introduction, while short and long term use have both been associated with elevation of liver transaminases, a surrogate marker for acute liver injury. From these reports it has been assumed that paracetamol use should be restricted or the dosage reduced in patients with chronic liver disease. We review the factors that have been purported to increase risk of hepatocellular injury from paracetamol and the pharmacokinetic alterations in different pathologies of chronic liver disease which may affect this risk. We postulate that inadvertent under-dosing may result in concentrations too low to enable efficacy. Specific research to improve the evidence base for prescribing paracetamol in patients with different aetiologies of chronic liver disease is needed.",
"25429980","false","Acetaminophen/paracetamol is the most widely used drug of the world. At the same time, it is probably one of the most dangerous compounds in medical use, causing hundreds of deaths in all industrialized countries due to acute liver failure (ALF). Publications of the last 130 years found in the usual databases were analyzed. Personal contacts existed to renowned researchers having contributed to the medical use of paracetamol and its precursors as H.U. Zollinger, S. Moeschlin, U. Dubach, J. Axelrod and others. Further information is found in earlier reviews by Eichengrün, Rodnan and Benedek, Sneader, Brune; comp. references. The history of the discovery of paracetamol starts with an error (active against worms), continues with a false assumption (paracetamol is safer than phenacetin), describes the first side-effect 'epidemy' (phenacetin nephropathy, drug-induced interstitial nephritis) and ends with the discovery of second-generation problems due to the unavoidable production of a highly toxic metabolite of paracetamol N-acetyl-p-benzoquinone imine (NAPQI) that may cause not only ALF and kidney damage but also impaired development of the fetus and the newborn child. It appears timely to reassess the risk/benefit ratio of this compound.",
"29903753","false","Paracetamol, on its own or in combination with other analgesics, is widely used to treat pain associated with acute and chronic conditions. It is considered safe enough to have a general sales licence (GSL) for use by ""adults, elderly and children over 16 years"" and has few listed cautions or contraindications.1,2 However, recently the effectiveness and safety of paracetamol for some conditions have been challenged, 3,4 and there are published case reports of liver failure associated with therapeutic doses.5-9 Here, we review the use of paracetamol, its pharmacokinetics, the mechanisms by which it can cause liver damage and consider whether frail older people are at greater risk of adverse effects. We also discuss if dose reduction should be considered in some circumstances.",
"7039926","false","In therapeutic doses paracetamol is a safe analgesic, but in overdosage it can cause severe hepatic necrosis. Following oral administration it is rapidly absorbed from the gastrointestinal tract, its systemic bioavailability being dose-dependent and ranging from 70 to 90%. Its rate of oral absorption is predominantly dependent on the rate of gastric emptying, being delayed by food, propantheline, pethidine and diamorphine and enhanced by metoclopramide. Paracetamol is also well absorbed from the rectum. It distributes rapidly and evenly throughout most tissues and fluids and has a volume of distribution of approximately 0.9L/kg. 10 to 20% of the drug is bound to red blood cells. Paracetamol is extensively metabolised (predominantly in the liver), the major metabolites being the sulphate and glucuronide conjugates. A minor fraction of drug is converted to a highly reactive alkylating metabolite which is inactivated with reduced glutathione and excreted in the urine as cysteine and mercapturic acid conjugates. Large doses of paracetamol (overdoses) cause acute hepatic necrosis as a result of depletion of glutathione and of binding of the excess reactive metabolite to vital cell constituents. This damage can be prevented by the early administration of sulfhydryl compounds such as methionine and N-acetylcysteine. In healthy subjects 85 to 95% of a therapeutic dose is excreted in the urine within 24 hours with about 4, 55, 30, 4 and 4% appearing as unchanged paracetamol and its glucuronide, sulphate, mercapturic acid and cysteine conjugates, respectively. The plasma half-life in such subjects ranges from 1.9 to 2.5 hours and the total body clearance from 4.5 to 5.5 ml/kg/min. Age has little effect on the plasma half-life, which is shortened in patients taking anticonvulsants. The plasma half-life is usually normal in patients with mild chronic liver disease, but its prolonged in those with decompensated liver disease.",
"24779190","false","Paracetamol/acetaminophen is one of the most popular and most commonly used analgesic and antipyretic drugs around the world, available without a prescription, both in mono- and multi-component preparations. It is the drug of choice in patients that cannot be treated with non-steroidal anti-inflammatory drugs (NSAID), such as people with bronchial asthma, peptic ulcer disease, hemophilia, salicylate-sensitized people, children under 12 years of age, pregnant or breastfeeding women. It is recommended as a first-line treatment of pain associated with osteoarthritis. The mechanism of action is complex and includes the effects of both the peripheral (COX inhibition), and central (COX, serotonergic descending neuronal pathway, L-arginine/NO pathway, cannabinoid system) antinociception processes and ""redox"" mechanism. Paracetamol is well tolerated drug and produces few side effects from the gastrointestinal tract, however, despite that, every year, has seen a steadily increasing number of registered cases of paracetamol-induced liver intoxication all over the world. Given the growing problem of the safety of acetaminophen is questioned the validity of the sale of the drug without a prescription. This work, in conjunction with the latest reports on the mechanism of action of paracetamol, trying to point out that it is not a panacea devoid of side effects, and indeed, especially when is taken regularly and in large doses (> 4 g/day), there is a risk of serious side effects.",
"38222988","false","Hidradenitis suppurativa (HS) is a chronic inflammatory skin disease with limited therapeutic options. Adalimumab, an anti-tumor necrosis factor-alpha (TNF-α) monoclonal antibody, was the first biological agent approved for the treatment of moderate to severe HS. Tuberculosis (TB) is a highly prevalent global public health problem, affecting individuals worldwide. Continuous immunosuppression from TNF-α treatment increases the risk of TB development. Isolated neurotuberculosis, in the absence of other symptoms, emerges as a rarely observed infection pattern in such patients. We present a case of a 23-year-old woman with severe HS undergoing treatment with adalimumab. After two years, she developed a pronounced occipital tension headache, constant nausea, and persistent fever. The patient's latent TB status was unknown without annual screening. Subsequent magnetic resonance imaging revealed a lesion in the cerebellar vermis. Immunosuppressive therapy was suspended and an etiological study was conducted; the only positive result was the interferon-gamma release assay. Empirically, antituberculosis treatment and prednisolone were initiated, leading to clinical and neurological improvement. After one year of treatment, symptoms resolved without neurological sequelae. This case highlights the importance of vigilant monitoring before, during, and after immunosuppressive treatment. Early recognition, discontinuation of anti-tumor necrosis factor medications, and appropriate management of TB are crucial to prevent complications.",
"38223561","true","BACKGROUND:. However, its application in the treatment of psittacosis pneumonia remains constrained.CASE PRESENTATION: was established through the utilization of metagenomic next-generation sequencing (mNGS). Initial administration of moxifloxacin, meropenem, piperacillin-tazobactam, and doxycycline proved to be ineffective. Subsequent omadacycline leaded to the successful resolution of fever and dyspnea. However, after the endotracheal tube was removed, the patient experienced a rapid decline in symmetrical limb strength, leading to a diagnosis of GBS based on clinical manifestations, cerebrospinal fluid analysis, and electromyography. Following a 5-day course of immunoglobulin therapy and nutritional nerve treatment, the patient's condition ameliorated, culminating in an uncomplicated discharge.CONCLUSION: pneumonia.",""
"38225193","false","Dengue fever (DF) primarily presents with fever, headache, malaise, bleeding manifestations and haemoconcentration. World Health Organization (WHO) classifies DF according to levels of severity: (a) without warning signs; (b) with warning signs, such as abdominal pain, persistent vomiting, fluid accumulation, mucosal bleeding, lethargy, liver enlargement, increasing haematocrit and thrombocytopenia; and (c) severe dengue with severe plasma leakage, severe bleeding or organ failure. Atypical clinical presentations of DF are defined as expanded dengue syndrome: this includes renal, cardiac, hepatic or cerebral damage. We report such a severe case where a young man developed acute kidney injury, acute fulminant liver failure and acute pancreatitis secondary to DF, but recovered.",
"38225347","false","Coccidioides is the fungal causative agent of Valley fever, a primarily pulmonary disease caused by inhalation of fungal arthroconidia, or spores. Although Coccidioides has been an established pathogen for 120 years and is responsible for hundreds of thousands of infections per year, little is known about when and where infectious Coccidioides arthroconidia are present within the ambient air in endemic regions. Long-term air sampling programs provide a means to investigate these characteristics across space and time. Here we present data from > 18 months of collections from 11 air sampling sites across the Phoenix, Arizona, metropolitan area. Overall, prevalence was highly variable across space and time with no obvious spatial or temporal correlations. Several high prevalence periods were identified at select sites, with no obvious spatial or temporal associations. Comparing these data with weather and environmental factor data, wind gusts and temperature were positively associated with Coccidioides detection, while soil moisture was negatively associated with Coccidioides detection. These results provide critical insights into the frequency and distribution of airborne arthroconidia and the associated risk of inhalation and potential disease that is present across space and time in a highly endemic locale.",
"38223736","false","Dengue is one of Pakistan's major health concerns. In this study, we aimed to advance our understanding of the levels of knowledge, attitudes, and practices (KAPs) in Pakistan's Dengue Fever (DF) hotspots. Initially, at-risk communities were systematically identified via a well-known spatial modeling technique, named, Kernel Density Estimation, which was later targeted for a household-based cross-sectional survey of KAPs. To collect data on sociodemographic and KAPs, random sampling was utilized (n = 385, 5 % margin of error). Later, the association of different demographics (characteristics), knowledge, and attitude factors-potentially related to poor preventive practices was assessed using bivariate (individual) and multivariable (model) logistic regression analyses. Most respondents (>90 %) identified fever as a sign of DF; headache (73.8 %), joint pain (64.4 %), muscular pain (50.9 %), pain behind the eyes (41.8 %), bleeding (34.3 %), and skin rash (36.1 %) were identified relatively less. Regression results showed significant associations of poor knowledge/attitude with poor preventive practices; dengue vector (odds ratio [OR] = 3.733, 95 % confidence interval [CI ] = 2.377-5.861; P < 0.001), DF symptoms (OR = 3.088, 95 % CI = 1.949-4.894; P < 0.001), dengue transmission (OR = 1.933, 95 % CI = 1.265-2.956; P = 0.002), and attitude (OR = 3.813, 95 % CI = 1.548-9.395; P = 0.004). Moreover, education level was stronger in bivariate analysis and the strongest independent factor of poor preventive practices in multivariable analysis (illiterate: adjusted OR = 6.833, 95 % CI = 2.979-15.672; P < 0.001) and primary education (adjusted OR = 4.046, 95 % CI = 1.997-8.199; P < 0.001). This situation highlights knowledge gaps within urban communities, particularly in understanding dengue transmission and signs/symptoms. The level of education in urban communities also plays a substantial role in dengue control, as observed in this study, where poor preventive practices were more prevalent among illiterate and less educated respondents.",
"38223621","true","UNLABELLED:Antibiotics are often started irrationally and continued injudiciously worldwide without a clinical diagnosis. Antibiotic prescription practises are governed by multiple factors like lack of diagnostic facilities, secondary infections, poor sanitary conditions, easy availability, pharmaceutical companies' marketing strategies and patients seeking the fastest cure from healthcare providers. We report a case of a 40-year-old male who was treated intermittently with multiple antibiotics for 3 months without being clinically diagnosed. The patient continued having episodes of fever with brief periods of remission. The occurrence of recurrent episodes of transient ischemic attacks alarmed him, and he was brought to a tertiary hospital, where a diagnosis of culture-negative Infective Endocarditis (IE) was made. He underwent successful high-risk double valve replacement and was discharged from the hospital in satisfactory condition.KEY MESSAGES:Antibiotics should be started judiciously with a proper clinical indication and should be reviewed from time to time regarding selection, duration, and response. In the case of non-responders, a thorough clinical examination followed by relevant investigations should be done for a proper clinical diagnosis.","UNLABELLED:Antibiotics are often started irrationally and continued injudiciously worldwide without a clinical diagnosis. Antibiotic prescription practises are governed by multiple factors like lack of diagnostic facilities, secondary infections, poor sanitary conditions, easy availability, pharmaceutical companies' marketing strategies and patients seeking the fastest cure from healthcare providers. We report a case of a 40-year-old male who was treated intermittently with multiple antibiotics for 3 months without being clinically diagnosed. The patient continued having episodes of fever with brief periods of remission. The occurrence of recurrent episodes of transient ischemic attacks alarmed him, and he was brought to a tertiary hospital, where a diagnosis of culture-negative Infective Endocarditis (IE) was made. He underwent successful high-risk double valve replacement and was discharged from the hospital in satisfactory condition."
